"names" "transcripts" "pool_ratio" "weighted_length"
"412" "YCR077C" 0.594 29.5037012113
"413" "YDR415C" 0.594 32.2171856523
"414" "YDL021W" 0.595 30.6571829293
"415" "YHR183W-R" 0.596 25.4399845619
"416" "YCL023C" 0.596 30.3023474178
"417" "YOL150C" 0.596 31.4106522578
"418" "YGL171W" 0.597 23.984015984
"419" "YNL085W" 0.597 24.5469093819
"420" "YIL078W" 0.598 25.7057057057
"421" "YKR050W" 0.598 28.7063929227
"422" "YBL005W" 0.598 30.7780612245
"423" "YDL085W" 0.599 29.4072116292
"424" "YAL021C" 0.599 29.4694694695
"425" "YGR054W" 0.599 29.9405940594
"426" "YIL063C" 0.602 25.7163382594
"427" "YBL035C" 0.602 28.992422691
"428" "YLR260W" 0.603 24.797786292
"429" "YBR227C" 0.605 27.0002005214
"430" "YHR150W" 0.605 27.5954697256
"431" "YDL109C" 0.605 29.259012016
"432" "YGL131C" 0.606 20.5504201681
"433" "YGR274C" 0.606 22.5625744934
"434" "YGR094W" 0.606 24.8234316577
"435" "YOR227W" 0.606 25.1020408163
"436" "YDL220C" 0.606 25.424610052
"437" "YDR176W" 0.607 24.9067550767
"438" "YKL085W" 0.607 25.3907772245
"439" "YBR178W" 0.607 29.1388545529
"440" "YJL117W" 0.608 24.6514719848
"441" "YGR280C" 0.608 25.8615484149
"442" "YOR110W" 0.608 27.1632148964
"443" "YDR001C" 0.608 27.8044280443
"444" "YLR132C" 0.608 29.0467376215
"445" "YBL045C" 0.609 26.3226366002
"446" "YGR104C" 0.609 30.6614349776
"447" "YGR053C" 0.61 25.2401129944
"448" "YDR407C" 0.61 28.2976303318
"449" "YKL194C" 0.61 30.3478441991
"450" "YDR514C" 0.61 31.5862977602
"451" "YLL008W" 0.611 25.3037205771
"452" "YBL097W" 0.611 25.5737704918
"453" "YBR064W" 0.611 26.8676716918
"454" "YKL071W" 0.611 31.4673076923
"455" "YDL153C" 0.612 23.5357512953
"456" "YDR200C" 0.612 25.2541639628
"457" "YDL099W" 0.613 27.6934782609
"458" "YJR129C" 0.613 28.3967112025
"459" "YNL129W" 0.613 28.4043459736
"460" "YFR046C" 0.613 29.7438376027
"461" "YGR145W" 0.614 25.8024263432
"462" "YBR297W" 0.614 29.9366852886
"463" "YDR213W" 0.614 30.407492606
"464" "YDR097C" 0.615 28.0965195551
"465" "YEL072W" 0.615 30.7943754565
"466" "YLR437C" 0.615 32.0837297812
"467" "YHR158C" 0.616 24.3600818368
"468" "YLR463C" 0.616 24.5902547065
"469" "YOL081W" 0.616 27.9905482042
"470" "YEL036C-R" 0.616 28.687100894
"471" "YPR049C" 0.617 23.6549200847
"472" "YDL222C" 0.617 24.8881296153
"473" "YMR162C" 0.617 28.2105064248
"474" "YDR295C" 0.618 26.5434142752
"475" "YMR075W" 0.619 26.5712322492
"476" "YKR022C" 0.619 29.0315457413
"477" "YKL218C" 0.619 29.0730932203
"478" "YBR285W" 0.619 31.3191990577
"479" "YDR060W" 0.62 24.3445616883
"480" "YER047C" 0.62 28.0029997857
"481" "YIL147C" 0.621 24.011167147
"482" "YDL025C" 0.621 26.7141382869
"483" "YNL021W" 0.621 28.2775494226
"484" "YGR072W" 0.622 25.2023876143
"485" "YNL076W" 0.622 27.0682976555
"486" "YNR068C" 0.622 27.4007793332
"487" "YCR079W" 0.622 32.568788501
"488" "YBR140C" 0.623 28.3683162249
"489" "YDL056W" 0.624 25.639287098
"490" "YDR146C" 0.624 26.6996155958
"491" "YML129C" 0.624 32.0410958904
"492" "YOR086C" 0.625 23.3308796467
"493" "YBR150C" 0.625 26.8118401207
"494" "YBR114W" 0.625 31.5860341318
"495" "YNL262W" 0.626 23.9675220529
"496" "YDL028C" 0.626 27.4588595484
