"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"230" "YOR080W" "YOR080W" 25 26.4 22.9 11.6 16.9 36.3 40.8 22.86 5.62 -2.02418336799
"231" "YHL010C" "YHL010C" 0 NA NA NA NA NA NA 16.45 8.7 -0.919000277887
"232" "YER169W" "YER169W" 51 31.8 26.4 10.7 13.8 49.3 60 22.38 11.97 -0.902786884033
"233" "YOL016C" "YOL016C" 32 24 18.2 7.2 11.1 35.6 49.3 42.37 42.12 -0.00853769233817
"234" "YOR226C" "YOR226C" 158 27.3 22.5 5.1 12.6 37.3 58.3 121.86 154.23 0.339858772454
"235" "YGL241W" "YGL241W" 78 28.4 22.7 7 11 47.7 58 32.73 22.57 -0.536207183853
"236" "YEL025C" "YEL025C" 59 25 21.3 7.7 12.4 35.3 49 31.64 5.37 -2.55875560649
"237" "YLR108C" "YLR108C" 15 36.2 32.9 8.5 22 53.3 65.5 48.68 23.92 -1.02511177852
"238" "YLR229C" "YLR229C" 667 29.6 26.9 9.4 16.2 39.4 54.2 212.1 283.29 0.417535055309
"239" "YNL186W" "YNL186W" 1 37.2 37.2 NA NA NA NA 69.7 36.9 -0.917537839808
"240" "YMR040W" "YMR040W" 9 27.9 20.1 NA NA NA NA NA NA NA
"241" "YPL254W" "YPL254W" 104 26.5 20 5.6 9.9 35.4 61 47.89 32.16 -0.574457029057
